0.000333333 0.771519 -44.8808 7.95626e+06 16058.2
0.001 0.801305 24.3022 8.29696e+06 16116.3
0.00166667 0.801305 -24.3022 8.29696e+06 16116.3
0.00233333 0.771519 44.8808 7.95626e+06 16058.2
0.003 0.741182 90.6156 7.64122e+06 16035.7
0.00366667 0.713163 131.041 7.34631e+06 16008.9
0.00433333 0.68714 170.218 7.06636e+06 15974.6
0.005 0.66315 209.278 6.80147e+06 15931.8
0.00566667 0.641226 248.42 6.55128e+06 15878.8
0.00633333 0.621325 287.612 6.31642e+06 15816.5
0.007 0.603328 327.513 6.09636e+06 15744.2
0.00766667 0.587261 367.032 5.89079e+06 15661.6
0.00833333 0.572957 407.412 5.69981e+06 15571.1
0.009 0.560363 447.147 5.52214e+06 15470.8
0.00966667 0.549393 486.849 5.35776e+06 15361.4
0.0103333 0.539927 526.262 5.20593e+06 15244.7
0.011 0.532002 564.793 5.0667e+06 15119
0.0116667 0.525582 603.277 4.93821e+06 14982.1
0.0123333 0.520769 640.145 4.82119e+06 14833.9
0.013 0.517687 676.934 4.71353e+06 14667.8
0.0136667 0.516282 712.317 4.61551e+06 14485.2
0.0143333 0.515987 746.639 4.52551e+06 14293.4
0.015 0.516385 780.05 4.44392e+06 14102.1
0.0156667 0.517466 812.018 4.36988e+06 13910.6
0.0163333 0.519347 842.705 4.30289e+06 13716.8
0.017 0.522171 872.053 4.24207e+06 13516.9
0.0176667 0.526032 899.553 4.18677e+06 13309.4
0.0183333 0.530913 926.222 4.13671e+06 13093.3
0.019 0.537083 951.153 4.09118e+06 12866.1
0.0196667 0.544303 974.872 4.04964e+06 12631
0.0203333 0.552909 997.738 4.01239e+06 12386.1
0.021 0.56282 1019 3.97787e+06 12132.3
0.0216667 0.573865 1038.95 3.94582e+06 11875.9
0.0223333 0.586384 1058.31 3.91626e+06 11615.6
0.023 0.600407 1076.2 3.88903e+06 11354.6
0.0236667 0.615252 1092.43 3.86336e+06 11103.8
0.0243333 0.631034 1107.66 3.83949e+06 10866.8
0.025 0.647481 1121.84 3.81684e+06 10643.9
0.0256667 0.664409 1134.97 3.79514e+06 10436.3
0.0263333 0.682075 1146.87 3.77437e+06 10242.6
0.027 0.70062 1157.47 3.75375e+06 10057.1
0.0276667 0.720231 1167.22 3.73329e+06 9880.36
0.0283333 0.740931 1175.7 3.71304e+06 9709.64
0.029 0.762729 1183.14 3.69228e+06 9545.76
0.0296667 0.785652 1189.57 3.67156e+06 9386.71
0.0303333 0.809407 1194.54 3.649e+06 9231.94
0.031 0.834306 1198.77 3.62624e+06 9081.02
0.0316667 0.860182 1201.67 3.60254e+06 8932.7
0.0323333 0.886953 1203.46 3.57706e+06 8786.28
0.033 0.91459 1204.01 3.55039e+06 8641.16
0.0336667 0.943251 1203.9 3.52374e+06 8497.34
0.0343333 0.972731 1202.71 3.4958e+06 8353.69
0.035 1.00301 1200.85 3.46771e+06 8210.28
0.0356667 1.03377 1198.08 3.43917e+06 8067.46
0.0363333 1.06499 1195.37 3.41039e+06 7924.34
0.037 1.09638 1192.36 3.38185e+06 7782.1
0.0376667 1.12851 1189.41 3.35416e+06 7638.63
0.0383333 1.16078 1186.02 3.32626e+06 7494.19
0.039 1.19285 1182.25 3.29801e+06 7349.48
0.0396667 1.22437 1177.42 3.26784e+06 7202.64
0.0403333 1.2548 1170.91 3.23478e+06 7054.51
0.041 1.28331 1161.93 3.1973e+06 6904.43
0.0416667 1.30944 1149.94 3.15362e+06 6751.52
0.0423333 1.33251 1134.75 3.09938e+06 6590.8
0.043 1.35284 1116.51 3.03708e+06 6423.87
0.0436667 1.37044 1095.41 2.97194e+06 6258.62
0.0443333 1.38503 1070.91 2.90172e+06 6092.65
0.045 1.39643 1043.16 2.82404e+06 5923.06
0.0456667 1.40483 1011.88 2.73934e+06 5749.25
0.0463333 1.40979 977.082 2.64779e+06 5573.72
0.047 1.41202 938.59 2.55217e+06 5399.54
0.0476667 1.41145 898.69 2.45372e+06 5229.72
0.0483333 1.41136 862.292 2.36033e+06 5068.85
0.049 1.4147 829.316 2.27558e+06 4915.68
0.0496667 1.42294 798.231 2.19829e+06 4766.23
0.0503333 1.43232 768.795 2.12538e+06 4624.54
0.051 1.43967 741.681 2.05639e+06 4496.24
0.0516667 1.44581 716.152 1.99109e+06 4378
0.0523333 1.45076 691.745 1.92908e+06 4267.34
0.053 1.45428 668.263 1.86952e+06 4162.69
0.0536667 1.45631 645.41 1.81215e+06 4062.8
0.0543333 1.45703 622.573 1.75616e+06 3965.79
0.055 1.45603 599.1 1.70049e+06 3870.08
0.0556667 1.4518 574.746 1.64388e+06 3776.07
0.0563333 1.44269 549.079 1.58583e+06 3685.86
0.057 1.42791 520.962 1.52588e+06 3600.02
0.0576667 1.40527 490.465 1.46317e+06 3520.91
0.0583333 1.37986 460.027 1.40168e+06 3445.99
0.059 1.35912 432.315 1.34644e+06 3370.37
0.0596667 1.34179 407.629 1.29716e+06 3297.21
0.0603333 1.32731 385.891 1.25325e+06 3227.23
0.061 1.31534 366.818 1.2142e+06 3160.75
0.0616667 1.30543 350.154 1.17864e+06 3096.24
0.0623333 1.29706 335.607 1.14632e+06 3034.78
0.063 1.28977 323.005 1.11649e+06 2975.6
0.0636667 1.28314 312.115 1.08829e+06 2918.32
0.0643333 1.27687 302.737 1.06159e+06 2863.12
0.065 1.27083 294.798 1.03605e+06 2809.46
0.0656667 1.26493 288.121 1.01135e+06 2756.83
0.0663333 1.2591 282.473 987162 2704.97
0.067 1.25318 277.696 963653 2654.34
