0.00195312 0.0969516 1.74024 180784 5336.2
0.00273438 0.0910157 23.2919 167893 5286.1
0.00351563 0.0857795 56.9411 156820 5244.27
0.00429688 0.0827066 104.177 150521 5222.85
0.00507813 0.080771 165.505 146762 5214.5
0.00585938 0.0795244 234.183 144531 5214.55
0.00664063 0.0787374 306.344 143315 5220.37
0.00742188 0.0782804 379.662 142810 5229.8
0.00820313 0.0779593 450.587 142644 5241.81
0.00898438 0.0776824 519.104 142808 5261.45
0.00976562 0.0774231 584.606 143311 5289.86
0.0105469 0.0771484 646.252 144135 5328.33
0.0113281 0.0768135 702.764 145348 5381.17
0.0121094 0.0763762 753.247 146958 5449.55
0.0128906 0.0758023 797.481 149016 5536.56
0.0136719 0.0750359 834.871 151531 5643.6
0.0144531 0.0740568 865.59 154396 5766.89
0.0152344 0.0728882 889.953 157641 5904.14
0.0160156 0.0715727 908.476 161174 6049.09
0.0167969 0.0702518 921.5 165212 6198.53
0.0175781 0.0688562 929.695 169727 6354.12
0.0183594 0.0672284 935.143 174361 6515.36
0.0191406 0.0652122 939.477 178801 6684.85
0.0199219 0.0628947 943.551 183046 6861.65
0.0207031 0.0609128 946.704 187023 7018.85
0.0214844 0.059688 949.397 190870 7139.82
0.0222656 0.0591627 951.304 194690 7227.25
0.0230469 0.0591039 953.101 198398 7289.9
0.0238281 0.059386 953.949 202085 7335.04
0.0246094 0.0601422 953.41 205862 7357.19
0.0253906 0.061434 952.208 209631 7352.88
0.0261719 0.0632825 950.091 213448 7323.54
0.0269531 0.0654075 949.338 217110 7281.08
0.0277344 0.0673175 949.22 220786 7250.39
0.0285156 0.0688032 947.377 224527 7240.26
0.0292969 0.0699593 943.993 228340 7245.12
0.0300781 0.0709903 941.164 232114 7254.47
0.0308594 0.0721227 939.301 235663 7256.6
0.0316406 0.0736673 938.091 238993 7239.33
0.0324219 0.0759508 935.8 242270 7193.75
0.0332031 0.0790068 933.502 245465 7120.4
0.0339844 0.0829287 933.303 248486 7018.15
0.0347656 0.0880323 933.014 251845 6885.53
0.0355469 0.0940432 925.952 256316 6744.19
0.0363281 0.0982588 914.233 256071 6605.66
0.0371094 0.100584 827.585 246033 6394.07
0.0378906 0.0871942 485.235 192976 6012.49
0.0386719 0.060377 -206.831 118129 5497.96
